,coref_local,coref_global,n_constituents,n_noun_phrases,n_verb_phrases,n_sub_clauses,n_prep_phrases,mean_np_length,mean_vp_length
0,0.55,0.43333333333333335,152.0,79.0,49.0,11.0,13.0,2.3544303797468356,4.63265306122449
1,0.65,0.638095238095238,196.0,93.0,68.0,12.0,23.0,2.5161290322580645,7.161764705882353
2,0.14814814814814814,0.09695874736525142,599.0,296.0,183.0,41.0,79.0,3.0945945945945947,7.6502732240437155
3,0.15294117647058825,0.10506155950752394,546.0,285.0,172.0,17.0,72.0,3.0105263157894737,6.1686046511627906
4,0.6,0.5454545454545454,123.0,64.0,40.0,11.0,8.0,2.484375,6.775
5,0.4,0.2780487804878049,369.0,177.0,120.0,20.0,52.0,2.4293785310734464,8.383333333333333
6,0.5416666666666666,0.43666666666666665,237.0,123.0,63.0,6.0,45.0,2.6666666666666665,8.26984126984127
7,0.3466666666666667,0.1936842105263158,639.0,297.0,210.0,50.0,82.0,2.8855218855218854,7.3238095238095235
8,0.3157894736842105,0.23472474289171205,612.0,302.0,199.0,34.0,77.0,3.443708609271523,7.547738693467337
9,0.7,0.6545454545454545,120.0,56.0,43.0,6.0,15.0,2.392857142857143,6.5813953488372094
10,0.7142857142857143,0.75,113.0,51.0,46.0,7.0,9.0,1.9019607843137254,4.891304347826087
11,0.1724137931034483,0.12916423144360023,485.0,245.0,143.0,24.0,73.0,3.2775510204081635,8.286713286713287
12,0.2727272727272727,0.1787538304392237,576.0,285.0,198.0,30.0,63.0,2.463157894736842,7.045454545454546
13,0.5882352941176471,0.6470588235294118,235.0,118.0,70.0,16.0,31.0,3.2457627118644066,7.4714285714285715
14,0.23214285714285715,0.13471177944862156,217.0,102.0,81.0,7.0,27.0,2.088235294117647,5.7407407407407405
15,0.2727272727272727,0.19719583898688375,474.0,224.0,164.0,27.0,59.0,2.4330357142857144,6.804878048780488
16,0.3,0.2549019607843137,630.0,315.0,181.0,39.0,95.0,3.473015873015873,7.928176795580111
17,0.16666666666666666,0.08771929824561403,96.0,49.0,30.0,5.0,12.0,2.163265306122449,5.466666666666667
18,0.07894736842105263,0.08771929824561403,260.0,132.0,75.0,12.0,41.0,5.325757575757576,16.293333333333333
19,0.10294117647058823,0.12702472293265132,308.0,154.0,102.0,14.0,38.0,2.1818181818181817,6.617647058823529
20,0.10526315789473684,0.08640350877192983,559.0,273.0,181.0,34.0,71.0,2.9963369963369964,10.022099447513812
21,0.13636363636363635,0.09905020352781546,334.0,148.0,120.0,20.0,46.0,2.114864864864865,7.841666666666667
22,0.35,0.38571428571428573,112.0,47.0,47.0,4.0,14.0,2.021276595744681,5.382978723404255
23,0.02666666666666667,0.02631578947368421,253.0,137.0,75.0,7.0,34.0,2.7007299270072993,4.773333333333333
24,0.5901639344262295,0.461660497091486,549.0,263.0,182.0,39.0,65.0,2.7604562737642584,8.274725274725276
25,0.4666666666666667,0.507103825136612,570.0,279.0,172.0,31.0,88.0,2.5412186379928317,6.854651162790698
26,0.06382978723404255,0.03900709219858156,90.0,51.0,24.0,2.0,13.0,2.3333333333333335,5.125
27,0.5625,0.34558823529411764,215.0,96.0,75.0,15.0,29.0,2.8333333333333335,10.866666666666667
28,0.5135135135135135,0.4395448079658606,390.0,176.0,141.0,31.0,42.0,2.1363636363636362,7.028368794326241
29,0.1,0.09523809523809523,89.0,53.0,20.0,1.0,15.0,3.056603773584906,9.7
30,0.3548387096774194,0.2318548387096774,240.0,117.0,85.0,15.0,23.0,2.8034188034188032,6.517647058823529
31,0.31958762886597936,0.21712602566799916,596.0,297.0,191.0,50.0,58.0,2.4074074074074074,5.62303664921466
32,0.22807017543859648,0.1530550514216576,300.0,155.0,96.0,17.0,32.0,2.296774193548387,6.166666666666667
33,0.2066115702479339,0.17057309307681887,579.0,266.0,220.0,27.0,66.0,2.0526315789473686,5.963636363636364
34,0.48484848484848486,0.40998217468805703,351.0,170.0,123.0,23.0,35.0,2.7176470588235295,7.260162601626016
35,0.37037037037037035,0.23544973544973544,183.0,84.0,64.0,13.0,22.0,2.8214285714285716,8.015625
36,0.375,0.2647058823529412,175.0,91.0,43.0,6.0,35.0,2.978021978021978,10.348837209302326
37,0.4827586206896552,0.30566919929865577,639.0,326.0,178.0,48.0,87.0,3.355828220858896,9.601123595505618
38,0.4230769230769231,0.341799709724238,377.0,179.0,135.0,11.0,52.0,2.206703910614525,5.466666666666667
39,0.2777777777777778,0.18181818181818182,657.0,321.0,209.0,38.0,89.0,3.398753894080997,8.937799043062201
40,0.75,0.638095238095238,265.0,136.0,86.0,11.0,32.0,2.823529411764706,7.848837209302325
41,1.0,1.0,121.0,58.0,38.0,8.0,17.0,4.810344827586207,14.578947368421053
42,0.2396694214876033,0.15946348733233978,568.0,285.0,202.0,26.0,55.0,2.0526315789473686,4.787128712871287
43,0.1388888888888889,0.13914373088685014,531.0,268.0,177.0,13.0,73.0,2.458955223880597,6.333333333333333
44,0.375,0.32,157.0,74.0,59.0,9.0,15.0,2.2567567567567566,5.610169491525424
45,0.4594594594594595,0.38549075391180654,411.0,194.0,123.0,31.0,63.0,3.4742268041237114,8.073170731707316
46,0.42857142857142855,0.2868217054263566,445.0,190.0,166.0,43.0,46.0,2.363157894736842,6.903614457831325
47,0.4878048780487805,0.36585365853658536,417.0,204.0,118.0,16.0,79.0,3.0049019607843137,7.338983050847458
48,0.4791666666666667,0.44302721088435376,581.0,270.0,205.0,39.0,67.0,2.4851851851851854,7.1414634146341465
49,0.25,0.21904761904761905,145.0,70.0,49.0,8.0,18.0,2.6,7.142857142857143
50,0.47126436781609193,0.29022988505747127,644.0,315.0,226.0,46.0,57.0,2.2063492063492065,6.048672566371682
51,0.5172413793103449,0.4735632183908046,383.0,185.0,113.0,23.0,62.0,3.881081081081081,9.053097345132743
52,0.43243243243243246,0.2546230440967283,456.0,210.0,153.0,24.0,69.0,3.5238095238095237,8.11111111111111
53,0.05357142857142857,0.04887218045112782,228.0,109.0,81.0,14.0,24.0,2.853211009174312,9.0
54,0.2459016393442623,0.13101426096228175,584.0,287.0,204.0,15.0,78.0,2.097560975609756,6.098039215686274
55,0.20689655172413793,0.11598746081504702,444.0,221.0,155.0,24.0,44.0,2.579185520361991,6.529032258064516
56,0.4,0.3118279569892473,292.0,152.0,83.0,17.0,40.0,2.9934210526315788,7.867469879518072
57,0.2857142857142857,0.42857142857142855,81.0,39.0,27.0,2.0,13.0,2.1538461538461537,3.888888888888889
58,0.3333333333333333,0.3178743961352657,332.0,160.0,112.0,14.0,46.0,2.5375,6.419642857142857
59,0.21875,0.2746212121212121,315.0,147.0,108.0,27.0,33.0,2.6122448979591835,6.657407407407407
60,0.23333333333333334,0.18961748633879782,622.0,301.0,188.0,30.0,103.0,3.1993355481727574,8.579787234042554
61,0.11428571428571428,0.1,350.0,175.0,100.0,23.0,52.0,2.822857142857143,5.83
62,0.48717948717948717,0.46282051282051284,346.0,178.0,113.0,29.0,26.0,2.264044943820225,6.982300884955753
63,0.0967741935483871,0.06854838709677419,178.0,92.0,58.0,16.0,12.0,3.4130434782608696,8.172413793103448
64,0.46511627906976744,0.3498942917547569,491.0,242.0,141.0,18.0,90.0,3.0,8.680851063829786
65,0.034482758620689655,0.0701344243132671,242.0,126.0,75.0,10.0,31.0,2.0238095238095237,6.066666666666666
66,0.42857142857142855,0.2945532728141424,636.0,298.0,237.0,46.0,55.0,2.2181208053691277,6.1645569620253164
67,0.17647058823529413,0.1726998491704374,374.0,172.0,128.0,20.0,54.0,3.063953488372093,7.6171875
68,0.21428571428571427,0.2070874861572536,430.0,208.0,119.0,25.0,78.0,3.1201923076923075,7.310924369747899
69,0.35,0.14761904761904762,142.0,65.0,48.0,7.0,22.0,3.1538461538461537,8.5
70,0.1328125,0.08212209302325581,543.0,266.0,181.0,35.0,61.0,2.6165413533834587,7.0497237569060776
71,0.2976190476190476,0.23277310924369748,621.0,303.0,221.0,31.0,66.0,2.66996699669967,5.823529411764706
72,0.11458333333333333,0.12242268041237113,552.0,281.0,182.0,31.0,58.0,2.8576512455516014,6.670329670329671
73,0.23076923076923078,0.3626373626373626,79.0,37.0,31.0,6.0,5.0,1.6756756756756757,5.838709677419355
74,0.24731182795698925,0.213452299245024,546.0,256.0,195.0,25.0,70.0,1.8515625,6.205128205128205
75,0.8333333333333334,0.7142857142857143,104.0,52.0,33.0,0.0,19.0,4.961538461538462,11.93939393939394
76,0.42857142857142855,0.4857142857142857,133.0,63.0,49.0,7.0,14.0,2.3968253968253967,6.1020408163265305
